,VISIT_AREA_NM,ROAD_NM_ADDR,LOTNO_ADDR,SEARCH_ADDR,data-id
43,한림 칼국수 공항점,제주특별자치도 제주시 광평중길 82,제주특별자치도 제주시 노형동 3153-1,제주특별자치도 제주시 노형동 3153-1,1564788563
44,물영아리,,제주특별자치도 서귀포시 남원읍 수망리 산 188,제주특별자치도 서귀포시 남원읍 수망리 산 188,17071747
45,서귀포 매일 올레시장,제주특별자치도 서귀포시 중앙로62번길 18,제주특별자치도 서귀포시 서귀동 277-1,제주특별자치도 서귀포시 서귀동 277-1,17043242
46,엉또폭포,,제주특별자치도 서귀포시 강정동 5628,제주특별자치도 서귀포시 강정동 5628,no
47,올레 농수산,제주특별자치도 서귀포시 대정읍 하모항구로 22-15,제주특별자치도 서귀포시 대정읍 하모리 770-30,제주특별자치도 서귀포시 대정읍 하모리 770-30,no
48,슬랩,제주특별자치도 제주시 한림읍 한림로 354,제주특별자치도 제주시 한림읍 협재리 1740-2,제주특별자치도 제주시 한림읍 협재리 1740-2,1718061600
49,김씨술생활 제주협재점,제주특별자치도 제주시 한림읍 한림로 406,제주특별자치도 제주시 한림읍 협재리 1586,제주특별자치도 제주시 한림읍 협재리 1586,1619292194
50,씨스테이호텔&스파,제주특별자치도 제주시 애월읍 애월해안로 255,제주특별자치도 제주시 애월읍 고내리 1105-1,제주특별자치도 제주시 애월읍 고내리 1105-1,37101956
51,한라산국립공원 관음사 탐방로,,제주특별자치도 제주시 오라이동 산 107-20,제주특별자치도 제주시 오라이동 산 107-20,16998220
52,산방산 탄산온천,제주특별자치도 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리 981,제주특별자치도 서귀포시 안덕면 사계리 981,13044022
53,금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,제주특별자치도 제주시 한림읍 금능리 2026,제주특별자치도 제주시 한림읍 금능리 2026,1101126590
54,수풀,제주특별자치도 제주시 한림읍 명랑로 8,제주특별자치도 제주시 한림읍 한림리 1066,제주특별자치도 제주시 한림읍 한림리 1066,no
55,9.81파크,제주특별자치도 제주시 애월읍 천덕로 880-24,제주특별자치도 제주시 애월읍 어음리 산 131-3,제주특별자치도 제주시 애월읍 어음리 산 131-3,no
56,바닷속 고등어 쌈밥,제주특별자치도 제주시 애월읍 일주서로 7089,제주특별자치도 제주시 애월읍 하귀1리 1548,제주특별자치도 제주시 애월읍 하귀1리 1548,33044524
57,은희네 해장국 외도점,제주특별자치도 제주시 우정로15길 42-8,제주특별자치도 제주시 외도일동 532-8,제주특별자치도 제주시 외도일동 532-8,38667606
58,롯데시티 호텔 제주,제주특별자치도 제주시 도령로 83,제주특별자치도 제주시 연동 2324-6,제주특별자치도 제주시 연동 2324-6,33704736
59,명호 마농 갈비 본점,제주특별자치도 제주시 신대로12길 15,제주특별자치도 제주시 연동 292-57,제주특별자치도 제주시 연동 292-57,1835331356
60,미친 부엌,제주특별자치도 제주시 탑동로 15,제주특별자치도 제주시 삼도2동 1192-28,제주특별자치도 제주시 삼도2동 1192-28,36772248
61,무용담,제주특별자치도 제주시 흥운길 91,제주특별자치도 제주시 용담이동 448,제주특별자치도 제주시 용담이동 448,1214313926
62,재벌 식당,제주특별자치도 제주시 도령로7길 20,제주특별자치도 제주시 연동 1965-4,제주특별자치도 제주시 연동 1965-4,no
63,디 앤디 파트 먼트 제주,제주특별자치도 제주시 탑동로2길 3,제주특별자치도 제주시 삼도이동 1261-6,제주특별자치도 제주시 삼도이동 1261-6,1322078819
64,산방식당 화북점,제주특별자치도 제주시 선반로 67,제주특별자치도 제주시 화북일동 2229,제주특별자치도 제주시 화북일동 2229,1754603487
65,제주 국제공항 렌터카 하우스,제주특별자치도 제주시 공항로 2,제주특별자치도 제주시 용담2동 1984-8,제주특별자치도 제주시 용담2동 1984-8,no
66,퍼스트 렌터카,제주특별자치도 제주시 다호북길 111,제주특별자치도 제주시 도두이동 414-5,제주특별자치도 제주시 도두이동 414-5,37404444
67,함덕 돌핀 레저 본사,제주특별자치도 제주시 조천읍 조함해안로 538,제주특별자치도 제주시 조천읍 함덕리 산 14-58,제주특별자치도 제주시 조천읍 함덕리 산 14-58,13023900
68,밀라네 사,제주특별자치도 제주시 매촌2길 78,제주특별자치도 제주시 도련일동 1751-7,제주특별자치도 제주시 도련일동 1751-7,1004399342
69,일송 회수산,제주특별자치도 서귀포시 남원읍 위미중앙로196번길 13,제주특별자치도 서귀포시 남원읍 위미리 1760-3,제주특별자치도 서귀포시 남원읍 위미리 1760-3,13286289
70,신신 호텔 천지연,제주특별자치도 서귀포시 서문로 42-1,제주특별자치도 서귀포시 서귀동 325-1,제주특별자치도 서귀포시 서귀동 325-1,1200000744
71,올레 야시장,제주특별자치도 서귀포시 중정로61번길 20,제주특별자치도 서귀포시 서귀동 276-19,제주특별자치도 서귀포시 서귀동 276-19,1650279666
72,소원 식당,제주특별자치도 제주시 일주동로 348,제주특별자치도 제주시 삼양이동 2174-8,제주특별자치도 제주시 삼양이동 2174-8,33856064
73,쇠소깍,제주특별자치도 서귀포시 쇠소깍로 104,제주특별자치도 서귀포시 하효동 990-1,제주특별자치도 서귀포시 하효동 990-1,11707633
74,쇠소깍 빵 명장,제주특별자치도 서귀포시 쇠소깍로 122,제주특별자치도 서귀포시 하효동 994-2,제주특별자치도 서귀포시 하효동 994-2,1238493751
75,스쿠버 스토리 게스트하우스,제주특별자치도 서귀포시 태평로536번길 17,제주특별자치도 서귀포시 동홍동 192-39,제주특별자치도 서귀포시 동홍동 192-39,32625545
76,몸냥공작소,제주특별자치도 제주시 애월읍 하소로 594,제주특별자치도 제주시 애월읍 유수암리 2475-1,제주특별자치도 제주시 애월읍 유수암리 2475-1,1619676496
77,제주키즈독채펜션아이랑,제주특별자치도 제주시 애월읍 고내로7길 34,제주특별자치도 제주시 애월읍 고내리 1071-1,제주특별자치도 제주시 애월읍 고내리 1071-1,36351061
78,더 마당,제주특별자치도 제주시 애월읍 애월해안로 232-1,제주특별자치도 제주시 애월읍 고내리 1157,제주특별자치도 제주시 애월읍 고내리 1157,1443850431
79,왕서방,제주특별자치도 제주시 애월읍 중엄3길 2-1,제주특별자치도 제주시 애월읍 신엄리 757-2,제주특별자치도 제주시 애월읍 신엄리 757-2,1313072100
80,소랑 아시,제주특별자치도 서귀포시 중문관광로 27,제주특별자치도 서귀포시 색달동 2507-1,제주특별자치도 서귀포시 색달동 2507-1,1745318490
81,제주 오성 식당,제주특별자치도 서귀포시 중문관광로 27,제주특별자치도 서귀포시 색달동 2507-1,제주특별자치도 서귀포시 색달동 2507-1,1348682995
82,테디베어 하우스 테지움 제주점,제주특별자치도 제주시 애월읍 평화로 2159,제주특별자치도 제주시 애월읍 소길리 155-106,제주특별자치도 제주시 애월읍 소길리 155-106,19555652
83,투썸플레이스 제주 애월 하귀점,제주특별자치도 제주시 애월읍 일주서로 7209,제주특별자치도 제주시 애월읍 하귀1리 275,제주특별자치도 제주시 애월읍 하귀1리 275,1549505130
84,제주 팔팔 국밥,제주특별자치도 제주시 용담로 68,제주특별자치도 제주시 용담이동 599-8,제주특별자치도 제주시 용담이동 599-8,1369179092
85,신제 줄참 닭갈비 신에주점,제주특별자치도 제주시 신광로4길 1,제주특별자치도 제주시 연동 261-14,제주특별자치도 제주시 연동 261-14,16837174
86,트레비 호텔,제주특별자치도 제주시 연동7길 8,제주특별자치도 제주시 연동 272-50,제주특별자치도 제주시 연동 272-50,11482201
87,국제 리더스클럽,제주특별자치도 제주시 조천읍 조함해안로 321-21,제주특별자치도 제주시 조천읍 신흥리 1-11,제주특별자치도 제주시 조천읍 신흥리 1-11,1762553804
88,델문도,제주특별자치도 제주시 조천읍 조함해안로 519-10,제주특별자치도 제주시 조천읍 함덕리 1008-1,제주특별자치도 제주시 조천읍 함덕리 1008-1,36859834
89,삼촌네 칼국수,제주특별자치도 서귀포시 안덕면 중산간서로 1815,제주특별자치도 서귀포시 안덕면 서광리 279,제주특별자치도 서귀포시 안덕면 서광리 279,1943564145
90,신화 테마파크,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,제주특별자치도 서귀포시 안덕면 서광리 산 35-20,제주특별자치도 서귀포시 안덕면 서광리 산 35-20,no
91,제주신화 월드 한라원,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도 서귀포시 안덕면 서광리 산 24,제주특별자치도 서귀포시 안덕면 서광리 산 24,1533978056
92,제주신화 월드 신화관,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도 서귀포시 안덕면 서광리 산 24,제주특별자치도 서귀포시 안덕면 서광리 산 24,1101198197
93,신화 워터파크,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도 서귀포시 안덕면 서광리 산 24,제주특별자치도 서귀포시 안덕면 서광리 산 24,1960638614
94,제주신화 월드 푸드 애비뉴,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도 서귀포시 안덕면 서광리 산 24,제주특별자치도 서귀포시 안덕면 서광리 산 24,1230971229
95,아이 조팝 게임장,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,제주특별자치도 서귀포시 안덕면 서광리 산 24-11,제주특별자치도 서귀포시 안덕면 서광리 산 24-11,1620871880
96,제주항공 우주 박물관,제주특별자치도 서귀포시 안덕면 녹차분재로 218,제주특별자치도 서귀포시 안덕면 서광리 산 39,제주특별자치도 서귀포시 안덕면 서광리 산 39,33306659
97,오설록 티 뮤지엄,제주특별자치도 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리 1235-1,제주특별자치도 서귀포시 안덕면 서광리 1235-1,11612628
98,한화리조트 제주,제주특별자치도 제주시 명림로 575-107,제주특별자치도 제주시 회천동 3-16,제주특별자치도 제주시 회천동 3-16,11613289
99,바운스 슈퍼 파크 제주센터,제주특별자치도 제주시 연사6길 61,제주특별자치도 제주시 오라이동 1758,제주특별자치도 제주시 오라이동 1758,1734913317
100,가다 오다,제주특별자치도 제주시 신산로 13,제주특별자치도 제주시 일도이동 1025-4,제주특별자치도 제주시 일도이동 1025-4,no
101,비자림 국숫집,제주특별자치도 제주시 구좌읍 비자숲길 46,제주특별자치도 제주시 구좌읍 평대리 3163-3,제주특별자치도 제주시 구좌읍 평대리 3163-3,1173398209
102,비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,제주특별자치도 제주시 구좌읍 평대리 3161-1,제주특별자치도 제주시 구좌읍 평대리 3161-1,12370507
103,목장카페드르쿰다,제주특별자치도 서귀포시 표선면 번영로 2454,제주특별자치도 서귀포시 표선면 성읍리 2873,제주특별자치도 서귀포시 표선면 성읍리 2873,13126047
104,검은 여식 당,제주특별자치도 서귀포시 표선면 번영로 3496,제주특별자치도 서귀포시 표선면 표선리 1861,제주특별자치도 서귀포시 표선면 표선리 1861,32166269
105,신비의 도로,,제주특별자치도 제주시 노형동 291-16,제주특별자치도 제주시 노형동 291-16,no
106,돈향기,제주특별자치도 제주시 관덕로15길 30,제주특별자치도 제주시 건입동 1384,제주특별자치도 제주시 건입동 1384,16742074
107,하이 버니,제주특별자치도 제주시 아연로 232,제주특별자치도 제주시 오라이동 94-1,제주특별자치도 제주시 오라이동 94-1,1261964060
108,제주동문재래시장 공영주차장,제주특별자치도 제주시 중앙로13길 16-8,제주특별자치도 제주시 이도일동 1330-5,제주특별자치도 제주시 이도일동 1330-5,1033018979
109,한라봉 스시,제주특별자치도 제주시 애월읍 애월북서길 54,제주특별자치도 제주시 애월읍 애월리 2550,제주특별자치도 제주시 애월읍 애월리 2550,1822018812
110,제주 김만복 본점,제주특별자치도 제주시 오라로 41,제주특별자치도 제주시 오라삼동 2250-1,제주특별자치도 제주시 오라삼동 2250-1,1773970782
111,제주공항 렌터카 본사,제주특별자치도 제주시 다호5길 17,제주특별자치도 제주시 도두이동 390-6,제주특별자치도 제주시 도두이동 390-6,13449577
112,힐스테이트 제주,제주특별자치도 제주시 연동6길 5,제주특별자치도 제주시 연동 263-2,제주특별자치도 제주시 연동 263-2,1865116259
113,돌담 흑돼지 연동,제주특별자치도 제주시 연동7길 35,제주특별자치도 제주시 연동 273-35,제주특별자치도 제주시 연동 273-35,1766357276
114,우진 해장국,제주특별자치도 제주시 서사로 11,제주특별자치도 제주시 삼도이동 831,제주특별자치도 제주시 삼도이동 831,13418405
115,런던 베이글 뮤지엄 제주점,제주특별자치도 제주시 구좌읍 동복로 85,제주특별자치도 제주시 구좌읍 동복리 719-1,제주특별자치도 제주시 구좌읍 동복리 719-1,1422544447
116,물방울 포토존,고내리 435,,고내리 435,no
117,독개 물항,제주특별자치도 제주시 한림읍 한림로 478,제주특별자치도 제주시 한림읍 옹포리 593-1,제주특별자치도 제주시 한림읍 옹포리 593-1,17021628
118,협재해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10,제주특별자치도 제주시 한림읍 협재리 2447,제주특별자치도 제주시 한림읍 협재리 2447,no
119,마거릿 펜션,제주특별자치도 서귀포시 예래로68번길 11-16,제주특별자치도 서귀포시 상예동 506,제주특별자치도 서귀포시 상예동 506,38562015
120,발 편한 세상,제주특별자치도 서귀포시 천제연로 113,제주특별자치도 서귀포시 색달동 2481,제주특별자치도 서귀포시 색달동 2481,no
121,자연스러운 식당,제주특별자치도 서귀포시 태평로92번길 8,제주특별자치도 서귀포시 호근동 1559-2,제주특별자치도 서귀포시 호근동 1559-2,1041364852
122,황이지 선녀탕,,제주특별자치도 서귀포시 서홍동,제주특별자치도 서귀포시 서홍동,1986792057
123,표선해수욕장,,제주특별자치도 서귀포시 표선면 표선리,제주특별자치도 서귀포시 표선면 표선리,1460989444
124,해비치 호텔&리조트 제주,제주특별자치도 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리 40-69,제주특별자치도 서귀포시 표선면 표선리 40-69,10970369
125,산굼부리,,제주특별자치도 제주시 조천읍 교래리 166-2,제주특별자치도 제주시 조천읍 교래리 166-2,no
126,고국 수,제주특별자치도 제주시 용문로14길 4,제주특별자치도 제주시 용담이동 2682-7,제주특별자치도 제주시 용담이동 2682-7,1041325506
127,수수인 박,제주특별자치도 서귀포시 색달로81번길 61,제주특별자치도 서귀포시 색달동 2036,제주특별자치도 서귀포시 색달동 2036,no
128,지정식당,제주특별자치도 제주시 성화로 30,제주특별자치도 제주시 용담이동 930-25 대,제주특별자치도 제주시 용담이동 930-25 대,16750598
129,시간당 킬로미터,제주특별자치도 서귀포시 신동로67번길 11,제주특별자치도 서귀포시 서호동 1459-5,제주특별자치도 서귀포시 서호동 1459-5,1710259996
130,연동,제주특별자치도 서귀포시 일주서로 968-10,제주특별자치도 서귀포시 색달동 2156-2,제주특별자치도 서귀포시 색달동 2156-2,no
131,다이소 서귀포 중문점,제주특별자치도 서귀포시 일주서로 996,제주특별자치도 서귀포시 색달동 2081-1,제주특별자치도 서귀포시 색달동 2081-1,1081130475
132,마라도가 파도 정기여객선 대합실,제주특별자치도 서귀포시 대정읍 최남단해안로 120,제주특별자치도 서귀포시 대정읍 하모리 646-20,제주특별자치도 서귀포시 대정읍 하모리 646-20,1325578771
133,가파도,,제주특별자치도 서귀포시 대정읍 가파리 276,제주특별자치도 서귀포시 대정읍 가파리 276,no
134,블랑 로쉐,제주특별자치도 서귀포시 대정읍 가파로 239,제주특별자치도 서귀포시 대정읍 가파리 197,제주특별자치도 서귀포시 대정읍 가파리 197,1030981622
135,어촌계 식당,제주특별자치도 서귀포시 대정읍 노을해안로 724,제주특별자치도 서귀포시 대정읍 신도리 3076-1,제주특별자치도 서귀포시 대정읍 신도리 3076-1,32725056
136,오소소 게스트하우스,제주특별자치도 서귀포시 대정읍 비자낭로 23,제주특별자치도 서귀포시 대정읍 신도리 2071-4,제주특별자치도 서귀포시 대정읍 신도리 2071-4,1451380361
137,군산 오름 주차장,,제주특별자치도 서귀포시 안덕면 창천리 산 3-1,제주특별자치도 서귀포시 안덕면 창천리 산 3-1,31116590
138,다람쥐 식탁,제주특별자치도 제주시 한림읍 명월성로 10,제주특별자치도 제주시 한림읍 동명리 1580-7,제주특별자치도 제주시 한림읍 동명리 1580-7,1012702146
139,제주 시차,제주특별자치도 제주시 한림읍 귀덕5길 20-14,제주특별자치도 제주시 한림읍 귀덕리 3158-2,제주특별자치도 제주시 한림읍 귀덕리 3158-2,1246755660
140,보통의 오늘,제주특별자치도 제주시 한림읍 귀덕3길 35,제주특별자치도 제주시 한림읍 귀덕리 4076,제주특별자치도 제주시 한림읍 귀덕리 4076,no
141,알끈 공방,제주특별자치도 제주시 한림읍 귀덕5길 33,제주특별자치도 제주시 한림읍 귀덕리 4043,제주특별자치도 제주시 한림읍 귀덕리 4043,no
142,집의 기록 상점,제주특별자치도 제주시 한림읍 귀덕11길 60,제주특별자치도 제주시 한림읍 귀덕리 951-1,제주특별자치도 제주시 한림읍 귀덕리 951-1,1438290869
143,바당 187,제주특별자치도 제주시 애월읍 하귀미수포길 5-2,제주특별자치도 제주시 애월읍 하귀2리 1807,제주특별자치도 제주시 애월읍 하귀2리 1807,1940383570
144,노을리 카페,제주특별자치도 제주시 애월읍 애월해안로 654,제주특별자치도 제주시 애월읍 구엄리 1219-5,제주특별자치도 제주시 애월읍 구엄리 1219-5,1255816418
145,스나코 타카,제주특별자치도 제주시 애월읍 일주서로 7063,제주특별자치도 제주시 애월읍 하귀2리 1480,제주특별자치도 제주시 애월읍 하귀2리 1480,1646990819
146,제주 광해 애월 본점,제주특별자치도 제주시 애월읍 애월해안로 867,제주특별자치도 제주시 애월읍 하귀2리 2740-8,제주특별자치도 제주시 애월읍 하귀2리 2740-8,1374828905
147,쇼트롱 시네마,제주특별자치도 제주시 애월읍 신엄로 51,제주특별자치도 제주시 애월읍 신엄리 2657-2,제주특별자치도 제주시 애월읍 신엄리 2657-2,no
148,새물 카페,제주특별자치도 제주시 애월읍 애월해안로 620,제주특별자치도 제주시 애월읍 신엄리 929-2,제주특별자치도 제주시 애월읍 신엄리 929-2,1978599387
149,애월 책방이다,제주특별자치도 제주시 애월읍 고내북동길 15,제주특별자치도 제주시 애월읍 고내리 573,제주특별자치도 제주시 애월읍 고내리 573,1710921457
150,심바 카레,제주특별자치도 제주시 애월읍 애월로 87-16,제주특별자치도 제주시 애월읍 애월리 2100-1,제주특별자치도 제주시 애월읍 애월리 2100-1,878974631
151,제주신화 월드 랜딩관,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도 서귀포시 안덕면 서광리 산 24,제주특별자치도 서귀포시 안덕면 서광리 산 24,1497292200
152,제주신화 월드 랜딩 다이닝,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도 서귀포시 안덕면 서광리 산 24,제주특별자치도 서귀포시 안덕면 서광리 산 24,1510480425
153,브릭 캠퍼스 제주,제주특별자치도 제주시 1100로 3047,제주특별자치도 제주시 노형동 244-1,제주특별자치도 제주시 노형동 244-1,1961414272
154,제주 예찬,제주특별자치도 제주시 1100로 2997,제주특별자치도 제주시 노형동 287-1,제주특별자치도 제주시 노형동 287-1,37116481
155,제주순메밀막국수,제주특별자치도 서귀포시 안덕면 녹차분재로 60,제주특별자치도 서귀포시 안덕면 서광리 1413-3,제주특별자치도 서귀포시 안덕면 서광리 1413-3,1927504039
156,사계해변,,제주특별자치도 서귀포시 안덕면 사계리,제주특별자치도 서귀포시 안덕면 사계리,1593924529
157,제주신화 월드 셀렉더테이블,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도 서귀포시 안덕면 서광리 산 24,제주특별자치도 서귀포시 안덕면 서광리 산 24,499452079
158,더마파크,,제주특별자치도 제주시 한림읍 월림리 2365,제주특별자치도 제주시 한림읍 월림리 2365,20557921
159,어린 왕자 감귤밭,제주특별자치도 서귀포시 대정읍 추사로36번길 45-1,제주특별자치도 서귀포시 대정읍 안성리 1701,제주특별자치도 서귀포시 대정읍 안성리 1701,1659002184
160,용머리해안,,제주특별자치도 서귀포시 안덕면 사계리,제주특별자치도 서귀포시 안덕면 사계리,no
161,정성 식당,제주특별자치도 제주시 한경면 신한로 88,제주특별자치도 제주시 한경면 신창리 16-3,제주특별자치도 제주시 한경면 신창리 16-3,1318119768
162,싱계물공원,,제주특별자치도 제주시 한경면 신창리 1322-1,제주특별자치도 제주시 한경면 신창리 1322-1,17039969
163,신창 풍차 해안도로,,제주특별자치도 제주시 한경면 신창리 1322-1,제주특별자치도 제주시 한경면 신창리 1322-1,no
164,아시아 호텔,제주특별자치도 제주시 노연로 53,제주특별자치도 제주시 노형동 917-8,제주특별자치도 제주시 노형동 917-8,1183788110
